{'jetson_clocks': 'OFF', 'nvp model': 'MAXN', 'CPU1': 100, 'CPU2': 11, 'CPU3': 11, 'CPU4': 18, 'GPU': 0, 'RAM': 3214892, 'EMC': 3214892, 'IRAM': 3214892, 'SWAP': 384, 'APE': 25, 'NVENC': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'fan': 0.0, 'Temp AO': 51.0, 'Temp CPU': 46.0, 'Temp GPU': 44.5, 'Temp PLL': 42.5, 'Temp thermal': 45.0, 'power cur': 2765, 'power avg': 3199}
{'jetson_clocks': 'OFF', 'nvp model': 'MAXN', 'CPU1': 22, 'CPU2': 98, 'CPU3': 20, 'CPU4': 11, 'GPU': 19, 'RAM': 3311384, 'EMC': 3311384, 'IRAM': 3311384, 'SWAP': 384, 'APE': 25, 'NVENC': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'fan': 0.0, 'Temp AO': 51.5, 'Temp CPU': 46.0, 'Temp GPU': 43.0, 'Temp PLL': 42.5, 'Temp thermal': 44.5, 'power cur': 3615, 'power avg': 3200}
{'jetson_clocks': 'OFF', 'nvp model': 'MAXN', 'CPU1': 15, 'CPU2': 10, 'CPU3': 100, 'CPU4': 15, 'GPU': 0, 'RAM': 3214972, 'EMC': 3214972, 'IRAM': 3214972, 'SWAP': 384, 'APE': 25, 'NVENC': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'fan': 0.0, 'Temp AO': 51.5, 'Temp CPU': 44.5, 'Temp GPU': 44.5, 'Temp PLL': 42.5, 'Temp thermal': 45.0, 'power cur': 2765, 'power avg': 3212}
{'jetson_clocks': 'OFF', 'nvp model': 'MAXN', 'CPU1': 13, 'CPU2': 15, 'CPU3': 10, 'CPU4': 98, 'GPU': 0, 'RAM': 3215456, 'EMC': 3215456, 'IRAM': 3215456, 'SWAP': 384, 'APE': 25, 'NVENC': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'fan': 0.0, 'Temp AO': 51.5, 'Temp CPU': 45.0, 'Temp GPU': 45.0, 'Temp PLL': 43.0, 'Temp thermal': 45.0, 'power cur': 2889, 'power avg': 3204}
{'jetson_clocks': 'OFF', 'nvp model': 'MAXN', 'CPU1': 16, 'CPU2': 18, 'CPU3': 8, 'CPU4': 100, 'GPU': 10, 'RAM': 3310956, 'EMC': 3310956, 'IRAM': 3310956, 'SWAP': 384, 'APE': 25, 'NVENC': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'fan': 0.0, 'Temp AO': 52.0, 'Temp CPU': 45.5, 'Temp GPU': 43.0, 'Temp PLL': 43.0, 'Temp thermal': 44.25, 'power cur': 3979, 'power avg': 3202}
{'jetson_clocks': 'OFF', 'nvp model': 'MAXN', 'CPU1': 100, 'CPU2': 9, 'CPU3': 13, 'CPU4': 15, 'GPU': 0, 'RAM': 3216820, 'EMC': 3216820, 'IRAM': 3216820, 'SWAP': 384, 'APE': 25, 'NVENC': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'fan': 0.0, 'Temp AO': 52.0, 'Temp CPU': 46.5, 'Temp GPU': 44.5, 'Temp PLL': 42.5, 'Temp thermal': 45.75, 'power cur': 2765, 'power avg': 3215}
{'jetson_clocks': 'OFF', 'nvp model': 'MAXN', 'CPU1': 9, 'CPU2': 11, 'CPU3': 2, 'CPU4': 98, 'GPU': 0, 'RAM': 3217052, 'EMC': 3217052, 'IRAM': 3217052, 'SWAP': 384, 'APE': 25, 'NVENC': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'fan': 0.0, 'Temp AO': 51.5, 'Temp CPU': 45.5, 'Temp GPU': 45.0, 'Temp PLL': 43.0, 'Temp thermal': 45.25, 'power cur': 3333, 'power avg': 3207}
{'jetson_clocks': 'OFF', 'nvp model': 'MAXN', 'CPU1': 18, 'CPU2': 19, 'CPU3': 28, 'CPU4': 100, 'GPU': 19, 'RAM': 3309220, 'EMC': 3309220, 'IRAM': 3309220, 'SWAP': 388, 'APE': 25, 'NVENC': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'fan': 0.0, 'Temp AO': 51.5, 'Temp CPU': 46.0, 'Temp GPU': 43.0, 'Temp PLL': 43.0, 'Temp thermal': 44.75, 'power cur': 3697, 'power avg': 3207}
{'jetson_clocks': 'OFF', 'nvp model': 'MAXN', 'CPU1': 19, 'CPU2': 9, 'CPU3': 8, 'CPU4': 98, 'GPU': 0, 'RAM': 3213200, 'EMC': 3213200, 'IRAM': 3213200, 'SWAP': 388, 'APE': 25, 'NVENC': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'fan': 0.0, 'Temp AO': 52.0, 'Temp CPU': 45.5, 'Temp GPU': 45.0, 'Temp PLL': 43.0, 'Temp thermal': 44.75, 'power cur': 2765, 'power avg': 3218}
{'jetson_clocks': 'OFF', 'nvp model': 'MAXN', 'CPU1': 10, 'CPU2': 100, 'CPU3': 7, 'CPU4': 13, 'GPU': 0, 'RAM': 3214612, 'EMC': 3214612, 'IRAM': 3214612, 'SWAP': 388, 'APE': 25, 'NVENC': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'fan': 0.0, 'Temp AO': 51.5, 'Temp CPU': 46.0, 'Temp GPU': 45.0, 'Temp PLL': 43.0, 'Temp thermal': 45.0, 'power cur': 3374, 'power avg': 3211}
{'jetson_clocks': 'OFF', 'nvp model': 'MAXN', 'CPU1': 31, 'CPU2': 26, 'CPU3': 19, 'CPU4': 100, 'GPU': 26, 'RAM': 3308576, 'EMC': 3308576, 'IRAM': 3308576, 'SWAP': 388, 'APE': 25, 'NVENC': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'fan': 0.0, 'Temp AO': 52.0, 'Temp CPU': 46.0, 'Temp GPU': 43.5, 'Temp PLL': 43.0, 'Temp thermal': 45.25, 'power cur': 3938, 'power avg': 3210}
{'jetson_clocks': 'OFF', 'nvp model': 'MAXN', 'CPU1': 14, 'CPU2': 10, 'CPU3': 8, 'CPU4': 100, 'GPU': 0, 'RAM': 3211676, 'EMC': 3211676, 'IRAM': 3211676, 'SWAP': 388, 'APE': 25, 'NVENC': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'fan': 0.0, 'Temp AO': 52.0, 'Temp CPU': 45.5, 'Temp GPU': 45.0, 'Temp PLL': 43.0, 'Temp thermal': 45.25, 'power cur': 3132, 'power avg': 3221}
{'jetson_clocks': 'OFF', 'nvp model': 'MAXN', 'CPU1': 100, 'CPU2': 0, 'CPU3': 2, 'CPU4': 2, 'GPU': 0, 'RAM': 3212156, 'EMC': 3212156, 'IRAM': 3212156, 'SWAP': 388, 'APE': 25, 'NVENC': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'fan': 0.0, 'Temp AO': 52.0, 'Temp CPU': 47.0, 'Temp GPU': 44.5, 'Temp PLL': 42.5, 'Temp thermal': 46.0, 'power cur': 2765, 'power avg': 3214}
{'jetson_clocks': 'OFF', 'nvp model': 'MAXN', 'CPU1': 28, 'CPU2': 30, 'CPU3': 22, 'CPU4': 98, 'GPU': 24, 'RAM': 3308708, 'EMC': 3308708, 'IRAM': 3308708, 'SWAP': 388, 'APE': 25, 'NVENC': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'fan': 0.0, 'Temp AO': 52.5, 'Temp CPU': 46.5, 'Temp GPU': 44.0, 'Temp PLL': 43.5, 'Temp thermal': 45.5, 'power cur': 3938, 'power avg': 3213}
